,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
17,0.0,0.0,0.0,10.0,37.0,1009.0,0.7551085,8.598315,2.3540359,4.7680817,4.014122,3.3233175,2.5671928,14.025696,1.0884393,4.687354,6.8998833,3.13332,11.433869,8.64153,15.052765,9.4082575,230.0,87.0,-38.0,100.0,-387.0,1504.0,0.3601966,0.306335,1.210131,-0.25842527,-0.15479507,0.5225674,1.786842,0.36717516,-0.33241612,0.9991599,1.0024711,-0.36145216,1.3872776,4.9019446,2.068263,-0.8341069
18,-1.0,0.0,0.0,1.0,28.0,1009.0,0.70219874,8.8113785,2.8803387,4.5653467,4.1076612,4.6803393,3.0241067,14.716236,0.9354954,3.982196,6.7278867,3.5928185,11.565746,8.164916,12.980003,9.341887,153.0,106.0,0.0,-4.0,-480.0,1535.0,0.3601966,0.89102167,1.0444175,-0.25842527,-0.113300525,0.5158918,1.7139735,0.24584955,-0.07309016,1.3709997,0.640648,0.29490194,2.8826907,5.1014347,1.8729076,-0.9042482
19,-1.0,0.0,0.0,1.0,28.0,1009.0,0.70219874,8.8113785,2.8803387,4.5653467,4.1076612,4.6803393,3.0241067,14.716236,0.9354954,3.982196,6.7278867,3.5928185,11.565746,8.164916,12.980003,9.341887,153.0,106.0,0.0,-4.0,-480.0,1535.0,0.3601966,0.89102167,1.0444175,-0.25842527,-0.113300525,0.5158918,1.7139735,0.24584955,-0.07309016,1.3709997,0.640648,0.29490194,2.8826907,5.1014347,1.8729076,-0.9042482
20,-2.0,0.0,-1.0,3.0,39.0,1001.0,0.9139581,9.118565,2.4879444,4.495944,4.8889017,8.173222,4.7896614,18.501427,1.3937594,3.7467558,5.578992,4.578093,10.116636,7.670946,9.0605135,7.179648,145.0,93.0,2.0,307.0,-472.0,1538.0,0.34986106,0.6991931,0.87631303,-0.25842527,-0.15479507,0.53083634,1.786842,0.36717516,0.010749209,0.8072191,0.8834384,1.1271287,2.7575474,4.986467,1.9210349,-1.354036
21,-2.0,0.0,-1.0,3.0,39.0,1001.0,0.9139581,9.118565,2.4879444,4.495944,4.8889017,8.173222,4.7896614,18.501427,1.3937594,3.7467558,5.578992,4.578093,10.116636,7.670946,9.0605135,7.179648,145.0,93.0,2.0,307.0,-472.0,1538.0,0.34986106,0.6991931,0.87631303,-0.25842527,-0.15479507,0.53083634,1.786842,0.36717516,0.010749209,0.8072191,0.8834384,1.1271287,2.7575474,4.986467,1.9210349,-1.354036
22,-3.0,1.0,0.0,14.0,52.0,1006.0,0.9669564,9.4364605,2.218534,4.495944,5.644564,8.722388,6.3138723,20.668737,1.1393607,3.7467558,5.0337696,5.548679,9.3256445,6.926262,6.934061,6.5684633,57.0,67.0,-4.0,356.0,-836.0,1007.0,0.34986106,0.306335,0.87631303,0.014847062,-0.19551072,0.5225674,1.8623058,0.4856569,-0.33241612,0.9991599,1.3504211,1.3278205,1.8140604,4.9019446,1.6394385,-1.3975053
23,-3.0,1.0,0.0,14.0,52.0,1006.0,0.9669564,9.4364605,2.218534,4.495944,5.644564,8.722388,6.3138723,20.668737,1.1393607,3.7467558,5.0337696,5.548679,9.3256445,6.926262,6.934061,6.5684633,57.0,67.0,-4.0,356.0,-836.0,1007.0,0.34986106,0.306335,0.87631303,0.014847062,-0.19551072,0.5225674,1.8623058,0.4856569,-0.33241612,0.9991599,1.3504211,1.3278205,1.8140604,4.9019446,1.6394385,-1.3975053
24,-3.0,1.0,0.0,14.0,52.0,1006.0,0.9669564,9.4364605,2.218534,4.495944,5.644564,8.722388,6.3138723,20.668737,1.1393607,3.7467558,5.0337696,5.548679,9.3256445,6.926262,6.934061,6.5684633,57.0,67.0,-4.0,356.0,-836.0,1007.0,0.34986106,0.306335,0.87631303,0.014847062,-0.19551072,0.5225674,1.8623058,0.4856569,-0.33241612,0.9991599,1.3504211,1.3278205,1.8140604,4.9019446,1.6394385,-1.3975053
25,-4.0,2.0,-1.0,2.0,34.0,1008.0,0.86098564,9.813363,3.862245,5.151712,6.1162143,10.324569,7.7408004,22.997925,1.1393607,2.7238488,4.3895907,6.287018,7.8675094,6.289451,4.6023936,5.4841895,4.0,3.0,74.0,684.0,-1032.0,1114.0,0.34986106,0.105209164,0.5327865,0.014847062,-0.19551072,0.51079625,1.7139735,0.4856569,0.17470986,1.3709997,0.8834384,-0.7003616,0.99627537,4.87409,2.068263,-0.8341069
26,-5.0,4.0,0.0,-1.0,8.0,999.0,1.2324249,10.458202,5.873062,5.3342443,6.8863463,11.641321,10.5597515,22.46553,0.8844361,2.7238488,3.7406363,7.754916,5.706775,5.71119,0.62713057,0.9755188,-81.0,-21.0,79.0,170.0,-1106.0,886.0,0.3601966,0.105209164,0.87631303,-0.25842527,-0.19551072,0.53083634,1.7139735,0.36717516,0.010749209,0.5113465,1.0024711,-0.9303589,1.9258196,4.764246,2.481527,-0.26359057
27,-13.0,0.0,0.0,-6.0,-120.0,1009.0,1.7667687,12.172111,7.8586693,6.8341084,8.040399,17.144524,18.84466,24.508516,0.67966384,2.4083471,6.1154737,7.534565,1.2361608,4.6561456,0.4844306,-4.0722914,-140.0,-88.0,20.0,244.0,260.0,1455.0,0.3601966,-0.30667952,0.357291,-0.83053327,-0.113300525,0.5225674,1.786842,-0.0056347074,0.25489208,0.61105835,0.004912767,-1.8834854,5.183616,5.9839506,32.756065,20.496609
