,left.ang.x,left.ang.y,left.ang.z,left.acc.x,left.acc.y,left.acc.z,left.forces.0,left.forces.1,left.forces.2,left.forces.3,left.forces.4,left.forces.5,left.forces.6,left.forces.7,left.forces.8,left.forces.12,left.forces.13,left.forces.14,left.forces.17,left.forces.18,left.forces.21,left.forces.22,right.ang.x,right.ang.y,right.ang.z,right.acc.x,right.acc.y,right.acc.z,right.forces.0,right.forces.1,right.forces.2,right.forces.3,right.forces.4,right.forces.5,right.forces.6,right.forces.7,right.forces.8,right.forces.12,right.forces.13,right.forces.14,right.forces.17,right.forces.18,right.forces.21,right.forces.22
2361,399.0,-148.0,-55.0,245.0,-178.0,2339.0,0.22299235,0.91916835,0.95407593,0.53566635,-0.7205044,1.2442449,3.4105818,0.32253042,1.6671574,0.27855557,1.1903547,-0.05480285,1.059888,0.23265727,-0.49379984,0.73176587,-43.0,-16.0,-12.0,-38.0,-23.0,1052.0,5.7030454,9.411694,2.2212644,2.3289623,3.5848145,14.351118,12.826457,10.164366,3.4075916,7.5027375,4.9186883,2.1283307,0.037163474,1.2806534,0.3785097,0.729508
2362,-8.0,54.0,-20.0,-958.0,-4488.0,991.0,0.18552329,0.91916835,0.9770462,0.35614976,-0.12420734,1.4385979,3.2044446,0.38733146,1.6671574,0.5387615,1.037792,0.12608112,0.68147284,-0.20245335,2.5142007,1.4943345,-53.0,-22.0,-7.0,-17.0,-44.0,1065.0,6.266316,10.195869,3.2527292,3.8006434,4.2613177,20.169687,20.416752,15.922462,3.804797,5.025509,3.3066435,0.19552408,0.099798664,1.1240422,0.18585505,-0.42141443
2363,-199.0,115.0,-39.0,-169.0,-1493.0,742.0,0.14972906,0.87324756,0.9321551,0.53566635,-0.17300975,3.8395724,3.2044446,0.48530015,1.6671574,1.8706715,1.037792,0.0060154353,2.931179,1.693739,12.13754,8.635849,-115.0,-4.0,-3.0,-21.0,-100.0,1265.0,6.466008,12.347831,4.529977,6.564803,4.1837583,24.982025,26.921078,28.534155,1.4330477,0.37804067,1.1155406,-0.8192602,-0.14720464,0.5399956,-0.11332944,-1.7320627
2364,-134.0,136.0,47.0,-402.0,300.0,1548.0,0.14972906,0.91916835,1.0010482,1.1284728,0.35508895,1.3740072,2.9785597,0.34328243,1.8600168,2.1580234,0.9924446,-0.36728334,6.4875717,3.0975862,30.308538,28.848726,-233.0,-9.0,-23.0,-199.0,-153.0,1890.0,5.6385036,10.081868,4.7199516,7.222545,1.4501809,14.351118,16.519266,23.555979,1.2329419,1.0000433,0.93664944,-0.4934752,0.037163474,0.5056839,-0.32015872,-2.138051
2365,-321.0,78.0,-5.0,227.0,114.0,2201.0,0.14972906,0.91916835,1.0260649,1.2881181,0.31537306,1.5030082,3.1185477,0.34328243,1.7275879,2.1580234,1.0145017,-0.11616254,17.415485,6.6363835,32.511406,35.392124,-529.0,30.0,-105.0,-712.0,-679.0,2924.0,3.0240164,2.9469428,1.6247147,1.5047237,-0.57966906,5.292146,7.0795727,9.047753,1.3411214,1.3539933,0.961709,0.37543488,-0.024885884,0.57455915,-0.21597317,-1.3403915
2366,-106.0,86.0,-12.0,5.0,26.0,1298.0,0.18552329,0.91916835,0.95407593,1.3663871,0.5803147,3.1441905,3.1756516,0.32253042,1.2920246,5.338715,1.4255674,0.8080192,23.89742,10.636342,27.71918,28.246157,-538.0,29.0,-118.0,-322.0,-304.0,3833.0,2.125266,2.1672602,0.8059905,0.69159395,-2.0387714,2.9483964,5.152443,3.262713,1.2489771,0.5057741,0.9274927,-0.38909772,-0.14720464,0.6444469,-0.21597317,-0.9626641
2367,-14.0,9.0,-3.0,3.0,-10.0,1088.0,0.4794531,0.9659907,1.0010482,1.4436396,1.1648664,2.7049298,3.2625175,0.5390452,1.8171399,5.2568808,1.8756841,2.6855364,24.897951,11.156004,23.914433,24.47322,-298.0,-80.0,-143.0,-283.0,3522.0,2636.0,-0.02758699,0.9898924,0.7980176,0.568696,-2.1779497,1.400345,4.6346316,1.768762,1.2747478,-0.5658293,0.91407496,-0.70851856,-0.20746252,0.6797736,0.08753522,-1.3403915
2368,-1.0,0.0,0.0,9.0,-2.0,1005.0,0.62537456,0.9659907,1.1070321,1.8866427,1.8994402,3.3329585,4.079858,1.0721513,1.9182317,5.8286023,2.4445226,2.934265,21.134647,10.894374,18.198534,18.84703,316.0,-90.0,24.0,-1296.0,2282.0,471.0,-0.58810455,0.8930551,0.7830491,0.66011906,-2.6130366,0.8661904,4.318669,0.81747633,1.2489771,-0.28699034,0.91407496,-0.28676605,-0.20746252,0.751199,0.08753522,-1.3403915
2369,-1.0,0.0,0.0,12.0,6.0,1001.0,0.5755724,1.4266679,1.052079,1.8866427,2.0317552,4.4831123,5.1041436,2.0008655,2.1367946,5.338715,3.1867063,3.4921393,16.81652,9.165528,11.9942045,12.292884,368.0,108.0,44.0,-430.0,-143.0,1544.0,-1.1408108,0.48315126,0.77350503,0.75602806,-3.0753064,0.5997927,4.2182093,0.62470526,1.3527391,-0.015593896,0.91407496,0.0083313575,-0.3261457,0.6797736,0.3785097,-1.3403915
2370,-7.0,-5.0,3.0,23.0,-12.0,1008.0,3.539445,5.412756,3.4212167,3.4212072,3.18813,13.876204,11.641159,8.829755,5.187708,5.8286023,7.4957113,3.7528043,0.92940825,2.4076362,1.6430112,1.2944504,365.0,125.0,16.0,-406.0,-276.0,2078.0,0.4348344,0.692807,0.8164951,0.69159395,-2.7640522,0.7329366,4.0242467,0.54091585,1.2908818,-0.015593896,0.91407496,-0.1864424,-0.3845588,0.57455915,0.28283086,-0.42141443
